time,q0,q1,q2,q3,q4,q5,q6,q_err0,q_err1,q_err2,q_err3,q_err4,q_err5,q_err6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
1750157935.1589017,-0.0782330201821677,1.175029283520401,0.7485826244881929,0.29605829206192874,0.17794177139473438,0.14572817484913592,0.0,-0.0782330201821677,0.5,0.5,0.29605829206192874,0.17794177139473438,0.14572817484913592,0.0,-0.5368932757599747,-0.15339807878856915,0.0,2.2242721424341805,0.0,-0.1533980787885636,0.07669903939428206,-1.6781749819468925,-18.15922305453717,-15.0,4.008291798745183,-0.1423534171157875,-0.30066023442558504,0.0
1750157935.1789145,-0.08743690490948154,1.1719613219446299,0.7470486437003072,0.32673790781964157,0.17794177139473438,0.14419419406125028,0.0,-0.08743690490948154,0.5,0.5,0.32673790781964157,0.17794177139473438,0.14419419406125028,0.0,-0.4601942363656922,-0.15339807878855805,-0.07669903939428457,1.5339807878856415,0.0,-0.0766990393942818,0.0,-1.3161555160058795,-18.1592230545373,-15.674951546669705,1.66130119328015,-0.1423534171157875,-0.2073942025221384,0.0
1750157935.1989524,-0.09357282806102411,1.1704273411567443,0.7470486437003072,0.3436116964863836,0.17794177139473438,0.14266021327336462,0.0,-0.09357282806102411,0.5,0.5,0.3436116964863836,0.17794177139473438,0.14266021327336462,0.0,-0.3067961575771286,-0.07669903939427902,0.0,0.8436894333371026,0.0,-0.07669903939428319,0.0,-0.6657476619423699,-19.07961152726865,-15.0,-0.5614369683661451,-0.1423534171157875,-0.2061670178918315,0.0
1750157935.2189636,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.34514567727426926,0.17794177139473438,0.14266021327336462,-0.0015339807878856412,-0.0966407896367954,0.5,0.5,0.34514567727426926,0.17794177139473438,0.14266021327336462,-0.0015339807878856412,-0.1533980787885643,0.0,0.0,0.0766990393942818,0.0,0.0,-0.07669903939428206,-0.03374757733348477,-20.0,-15.0,-2.8762139772855777,-0.1423534171157875,-0.1141281706186917,0.0
1750157935.239977,-0.09817477042468103,1.1704273411567443,0.7470486437003072,0.3436116964863836,0.17794177139473438,0.14112623248547898,0.0,-0.09817477042468103,0.5,0.5,0.3436116964863836,0.17794177139473438,0.14112623248547898,0.0,-0.0766990393942818,0.0,0.0,-0.0766990393942818,0.0,-0.0766990393942818,0.07669903939428206,0.282252464970959,-20.0,-15.0,-3.3226023865602983,-0.1423534171157875,-0.20493983326152135,0.0
1750157935.2599466,-0.09817477042468103,1.1704273411567443,0.7470486437003072,0.34054373491061235,0.17794177139473438,0.13959225169759334,-0.0015339807878856412,-0.09817477042468103,0.5,0.5,0.34054373491061235,0.17794177139473438,0.13959225169759334,-0.0015339807878856412,0.0,0.0,0.0,-0.1533980787885636,0.0,-0.0766990393942818,-0.07669903939428206,0.5890486225480862,-20.0,-15.0,-3.525087850561202,-0.1423534171157875,-0.20371264863121286,0.0
1750157935.2799687,-0.09817477042468103,1.1704273411567443,0.7470486437003072,0.32980586939541284,0.17947575218262002,0.1380582709097077,-0.0015339807878856412,-0.09817477042468103,0.5,0.5,0.32980586939541284,0.17947575218262002,0.1380582709097077,-0.0015339807878856412,0.0,0.0,0.0,-0.5368932757599754,0.0766990393942818,-0.0766990393942818,0.0,0.5890486225480862,-20.0,-15.0,-4.578932651838642,-0.05154175447295786,-0.20248546400090434,0.0
1750157935.2999735,-0.09817477042468103,1.1704273411567443,0.7470486437003072,0.31600004230444206,0.17947575218262002,0.1380582709097077,0.0,-0.09817477042468103,0.5,0.5,0.31600004230444206,0.17947575218262002,0.1380582709097077,0.0,0.0,0.0,0.0,-0.690291354548539,0.0,0.0,0.07669903939428206,0.5890486225480862,-20.0,-15.0,-4.914874444385595,-0.14358060174609602,-0.11044661672776618,0.0
1750157935.319991,-0.09817477042468103,1.1704273411567443,0.7470486437003072,0.2991262536377,0.17947575218262002,0.13652429012182207,-0.0015339807878856412,-0.09817477042468103,0.5,0.5,0.2991262536377,0.17947575218262002,0.13652429012182207,-0.0015339807878856412,0.0,0.0,0.0,-0.8436894333371026,0.0,-0.0766990393942818,-0.07669903939428206,0.5890486225480862,-20.0,-15.0,-5.223204582750608,-0.14358060174609602,-0.20125827937059582,0.0
1750157935.339934,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.27765052260730105,0.18100973297050565,0.13652429012182207,0.0,-0.0966407896367954,0.5,0.5,0.27765052260730105,0.18100973297050565,0.13652429012182207,0.0,0.0766990393942818,0.0,0.0,-1.0737865515199478,0.0766990393942818,0.0,0.07669903939428206,0.8866408953978996,-20.0,-15.0,-5.720214358025553,-0.05276893910326638,-0.10921943209745766,0.0
1750157935.3599124,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.25924275315267337,0.18100973297050565,0.13652429012182207,0.0,-0.0966407896367954,0.5,0.5,0.25924275315267337,0.18100973297050565,0.13652429012182207,0.0,0.0,0.0,0.0,-0.9203884727313844,0.0,0.0,0.0,0.5798447378207724,-20.0,-15.0,-5.094350196568214,-0.14480778637640454,-0.10921943209745766,0.0
1750157935.3799055,-0.0966407896367954,1.1704273411567443,0.7485826244881929,0.23623304133438874,0.17947575218262002,0.13652429012182207,0.0,-0.0966407896367954,0.5,0.5,0.23623304133438874,0.17947575218262002,0.13652429012182207,0.0,0.0,0.0,0.07669903939428457,-1.150485590914231,-0.0766990393942818,0.0,0.0,0.5798447378207724,-20.0,-14.325048453330295,-5.577554144752192,-0.23561944901923418,-0.10921943209745766,0.0
1750157935.399926,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.21168934872821848,0.18100973297050565,0.13652429012182207,0.0,-0.0966407896367954,0.5,0.5,0.21168934872821848,0.18100973297050565,0.13652429012182207,0.0,0.0,0.0,-0.07669903939428457,-1.227184630308513,0.0766990393942818,0.0,0.0,0.5798447378207724,-20.0,-15.674951546669705,-5.586758029479506,-0.05276893910326638,-0.10921943209745766,0.0
1750157935.4199743,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.18867963690993386,0.17947575218262002,0.1380582709097077,0.0,-0.0966407896367954,0.5,0.5,0.18867963690993386,0.17947575218262002,0.1380582709097077,0.0,0.0,0.0,0.0,-1.150485590914231,-0.0766990393942818,0.0766990393942818,0.0,0.5798447378207724,-20.0,-15.0,-5.149573504932098,-0.23561944901923418,-0.01840776945462802,0.0
1750157935.440995,-0.0966407896367954,1.1704273411567443,0.7485826244881929,0.16873788666742054,0.17947575218262002,0.1380582709097077,0.0,-0.0966407896367954,0.5,0.5,0.16873788666742054,0.17947575218262002,0.1380582709097077,0.0,0.0,0.0,0.07669903939428457,-0.9970875121256662,0.0,0.0,0.0,0.5798447378207724,-20.0,-14.325048453330295,-4.509903516383783,-0.14358060174609602,-0.11044661672776618,0.0
1750157935.4609804,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.1518640980006785,0.17947575218262002,0.1380582709097077,-0.0015339807878856412,-0.0966407896367954,0.5,0.5,0.1518640980006785,0.17947575218262002,0.1380582709097077,-0.0015339807878856412,0.0,0.0,-0.07669903939428457,-0.8436894333371026,0.0,0.0,-0.07669903939428206,0.5798447378207724,-20.0,-15.674951546669705,-3.897845182017414,-0.14358060174609602,-0.11044661672776618,0.0
1750157935.4809835,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.1380582709097077,0.17947575218262002,0.1380582709097077,0.0,-0.0966407896367954,0.5,0.5,0.1380582709097077,0.17947575218262002,0.1380582709097077,0.0,0.0,0.0,0.0,-0.690291354548539,0.0,0.0,0.07669903939428206,0.5798447378207724,-20.0,-15.0,-3.313398501832986,-0.14358060174609602,-0.11044661672776618,0.0
1750157935.5009787,-0.0966407896367954,1.1704273411567443,0.7470486437003072,0.1303883669702795,0.17947575218262002,0.1380582709097077,0.0,-0.0966407896367954,0.5,0.5,0.1303883669702795,0.17947575218262002,0.1380582709097077,0.0,0.0,0.0,0.0,-0.3834951969714104,0.0,0.0,0.0,0.5798447378207724,-20.0,-15.0,-2.3239808936467465,-0.14358060174609602,-0.11044661672776618,0.0
