time,q0,q1,q2,q3,q4,q5,q6,tau_g0,tau_g1,tau_g2,tau_g3,tau_g4,tau_g5,tau_g6
1750422923.309406,0.0,0.0,0.0,0.0015339807878856412,0.0,-0.0030679615757712823,0.0,4.094359467893445e-19,1.3253365556538923,-13.171342097103292,0.6288471107426825,2.8859592886172533e-05,-0.019621293232286806,3.05647326361595e-05
1750422923.3252618,0.0,0.0,0.0,0.0015339807878856412,0.0,-0.0030679615757712823,0.0,4.094359467893445e-19,1.3253365556538923,-13.171342097103292,0.6288471107426825,2.8859592886172533e-05,-0.019621293232286806,3.05647326361595e-05
1750422923.3413234,0.0,0.0,0.0,0.0015339807878856412,0.0,-0.0046019423636569235,0.0015339807878856412,-1.3844226711788784e-18,1.3259040454376616,-13.170774607319522,0.6288644318027913,2.9729978748182882e-05,-0.020188782812149045,3.7237827173980505e-05
1750422923.3733158,0.0,0.0,0.0,0.0015339807878856412,0.0,-0.006135923151542565,0.0015339807878856412,-1.5568077794615622e-18,1.3264648714668943,-13.17021378129029,0.628864398663023,3.059014374322917e-05,-0.020749608180655264,4.3867777415944125e-05
1750422923.3893754,0.0,0.0,0.0,0.0030679615757712823,0.0,-0.006135923151542565,0.0015339807878856412,2.3061410539620368e-18,1.326448048299493,-13.170230604457693,0.627763028531674,6.115419625339308e-05,-0.0207495574806189,6.121557850996467e-05
1750422923.4053545,0.0,0.0,0.0,0.0046019423636569235,0.0,-0.007669903939428206,0.0,4.5149389428674176e-18,1.3269854166926147,-13.169693236064571,0.6266427249649202,9.424190681249331e-05,-0.021303627761981293,8.509056889652005e-05
1750422923.421321,0.0,0.0,0.0,0.0046019423636569235,0.0,-0.007669903939428206,0.0,4.5149389428674176e-18,1.3269854166926147,-13.169693236064571,0.6266427249649202,9.424190681249331e-05,-0.021303627761981293,8.509056889652005e-05
1750422923.45336,0.0015339807878856412,0.0,0.0,0.0046019423636569235,0.0,-0.009203884727313847,0.0015339807878856412,3.900953735552868e-18,1.3275527589100355,-13.16912589384715,0.6266599704908467,9.685237934008555e-05,-0.021870965357109137,9.182298592577784e-05
1750422923.4693599,0.0,0.0,0.0,0.0046019423636569235,0.0,-0.009203884727313847,0.0015339807878856412,3.900953735552868e-18,1.3275527589100355,-13.16912589384715,0.6266599704908467,9.685237934008555e-05,-0.021870965357109137,9.182298592577784e-05
1750422923.4853284,0.0,0.0,0.0,0.006135923151542565,0.0,-0.010737865515199488,0.0,-3.576977632141617e-18,1.3280900559032704,-13.168588596853915,0.625538077237321,0.00013248324417331254,-0.02242488660638817,0.0001156545379893934
